"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"29"	"Leaf-TG3A-117-Alder"	"TG3A117"	"TG3"	"North"	"Alder"	"non-forested"	-30.13	2.97623758852618	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.42	2.76	1.02	-30.13
"30"	"Leaf-TG2F-ML4-Alder"	"TG2FML4"	"TG2"	"North"	"Alder"	"forested"	-29.52	2.90811600424022	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.62	2.84	1.18	-29.52
"34"	"Leaf-TG4A-168-Alder"	"TG4A168"	"TG4"	"North"	"Alder"	"non-forested"	-28.51	3.02439708404115	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.71	2.59	-0.9	-28.51
"35"	"Leaf-TG1A-13"	"TG1A13"	"TG1"	"North"	"Alder"	"non-forested"	-29.37	2.86023647781974	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.08	3.01	-0.22	-29.37
"36"	"Leaf-TG2A-72-Alder"	"TG2A72"	"TG2"	"North"	"Alder"	"non-forested"	-29.99	2.89865860431949	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.2	2.84	-1	-29.99
"37"	"Leaf-TG4F-191-Ash"	"TG4F191"	"TG4"	"North"	"Ash"	"forested"	-29.95	2.99685674045457	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.64	2.6	-0.79	-29.95
"38"	"Leaf-TI1A-215-Ash"	"TI1A215"	"TI1"	"South"	"Ash"	"non-forested"	-30.8	2.84476080710088	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.42	3.08	-1.8	-30.8
"39"	"Leaf-TG3A-114"	"TG3A114"	"TG3"	"North"	"Ash"	"non-forested"	-30.21	3.10620522499851	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.52	2.22	0.03	-30.21
"40"	"Leaf-TG4A-168-Ash"	"TG4A168"	"TG4"	"North"	"Ash"	"non-forested"	-30.16	3.18527464278471	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.08	2.03	-0.1	-30.16
"41"	"Leaf-TG1F-47-Ash"	"TG1F47"	"TG1"	"North"	"Ash"	"forested"	-30.5	2.93262692550498	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.99	2.67	0.34	-30.5
"42"	"Leaf-TG4F-187"	"TG4F187"	"TG4"	"North"	"Ash"	"forested"	-30.19	3.28277002531001	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.19	1.89	-1.17	-30.19
"43"	"Leaf-TI2F-282"	"TI2F282"	"TI2"	"South"	"Ash"	"forested"	-31.07	2.99356033902968	"N"	NA	NA	"sample"	"Ash"	"Leaf"	47.06	2.75	-1.56	-31.07
