"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"123"	"Leaf-TG4F-185"	"TG4F185"	"TG4"	"North"	"Ash"	"forested"	-30.06	3.11363382878743	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.03	2.23	-1	-30.06
"124"	"Leaf-TG2A-67"	"TG2A67"	"TG2"	"North"	"Ash"	"non-forested"	-30.46	2.9362865893908	"N"	NA	NA	"sample"	"Ash"	"Leaf"	41.37	2.56	-0.11	-30.46
"125"	"Leaf-TI1F-234"	"TI1F234"	"TI1"	"South"	"Ash"	"forested"	-30.71	3.00171162704828	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.41	2.69	-1.79	-30.71
"126"	"Leaf-TI2F-286-Alder"	"TI2F286"	"TI2"	"South"	"Alder"	"forested"	-28.96	3.00186732010681	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.28	2.74	-1.74	-28.96
"127"	"Leaf-TI1F-240-Alder"	"TI1F240"	"TI1"	"South"	"Alder"	"forested"	-29.01	2.99438005289374	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.64	2.84	-1.58	-29.01
"128"	"Leaf-TG2A-61"	"TG2A61"	"TG2"	"North"	"Alder"	"non-forested"	-29.87	2.80589218147033	"N"	NA	NA	"sample"	"Alder"	"Leaf"	42.27	2.98	-0.87	-29.87
"129"	"Leaf-TI3A-310-Alder"	"TI3A310"	"TI3"	"South"	"Alder"	"non-forested"	-29.71	2.98849221342119	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.46	2.67	-1.86	-29.71
"130"	"Leaf-TG1A-20"	"TG1A20"	"TG1"	"North"	"Ash"	"non-forested"	-30.74	2.84972015691189	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.83	2.89	0.37	-30.74
"131"	"MZB-TG2A-67-Nemoura"	"TG2A67"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.68	1.49239395725603	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.5	11.93	2.78	-30.77
"132"	"MZB-TG1F-37-Nemoura"	"TG1F37"	"TG1"	"North"	"no-leaf"	"forested"	-26.97	1.47045292577622	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	42.05	11.27	3.95	-28.06
"133"	"MZB-TG2A-66-Nemoura"	"TG2A66"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.2	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.97	NA	NA	-31.29
"134"	"MZB-TG2A-64-Nemoura"	"TG2A64"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.27	1.53708382344454	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	40.64	10.19	2.36	-30.36
"135"	"MZB-TG1F-43-Nemoura"	"TG1F43"	"TG1"	"North"	"no-leaf"	"forested"	-28.09	1.49309718902412	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.99	12.05	4.03	-29.18
"136"	"MZB-TG2A-68-Nemoura"	"TG2A68"	"TG2"	"North"	"no-leaf"	"non-forested"	-28.45	1.52890864331018	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	40.23	10.17	2.33	-29.54
"137"	"MZB-TG1F-44-Nemoura"	"TG1F44"	"TG1"	"North"	"no-leaf"	"forested"	-27.63	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.82	NA	NA	-28.72
"138"	"MZB-TG1F-45-Nemoura"	"TG1F45"	"TG1"	"North"	"no-leaf"	"forested"	-27.58	1.49754495468952	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.08	12.02	3.54	-28.67
"139"	"MZB-TG4F-184-Nemoura"	"TG4F184"	"TG4"	"North"	"no-leaf"	"forested"	-27.11	1.47158390313204	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.31	12.13	-1.23	-28.2
"140"	"MZB-TG4F-186-Nemoura"	"TG4F186"	"TG4"	"North"	"no-leaf"	"forested"	-27.09	1.45212918852873	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.84	12.24	-1.1	-28.18
"141"	"MZB-TG2A-63-Nemoura"	"TG2A63"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.83	1.51528405883964	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	43.9	11.25	3.12	-31.92
"142"	"MZB-TG4F-189-Nemoura"	"TG4F189"	"TG4"	"North"	"no-leaf"	"forested"	-27.27	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.01	NA	NA	-28.36
"143"	"MZB-TG2A-71-Nemoura"	"TG2A71"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.52	1.47046315420255	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	41.64	11.16	2.85	-31.61
"144"	"MZB-TG1F-39-Nemoura"	"TG1F39"	"TG1"	"North"	"no-leaf"	"forested"	-27.51	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.62	NA	NA	-28.6
"145"	"MZB-TG2A-70-Nemoura"	"TG2A70"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.46	1.52196488973487	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	43.88	11.17	2.51	-30.55
"146"	"MZB-TG1F-42-Nemoura"	"TG1F42"	"TG1"	"North"	"no-leaf"	"forested"	-27.87	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.7	NA	NA	-28.96
"147"	"MZB-TG1F-48-Nemoura"	"TG1F48"	"TG1"	"North"	"no-leaf"	"forested"	-27.87	1.46699206213595	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.85	12.6	4.07	-28.96
"148"	"MZB-TG2A-65-Nemoura"	"TG2A65"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.93	1.4283954019562	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.79	12.52	2.66	-31.02
"149"	"MZB-TG1F-47-Nemoura"	"TG1F47"	"TG1"	"North"	"no-leaf"	"forested"	-27.92	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.44	NA	NA	-29.01
"150"	"MZB-TG1F-40-Nemoura"	"TG1F40"	"TG1"	"North"	"no-leaf"	"forested"	-28.46	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.3	NA	NA	-29.55
"151"	"MZB-TG2A-72-Nemour"	"TG2A72"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.79	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.6	NA	NA	-31.88
"152"	"MZB-TI2F-286-Protonemura"	"TI2F286"	"TI2"	"South"	"no-leaf"	"forested"	-26.87	1.46189825096783	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	46.39	12.54	-4.18	-27.96
"153"	"MZB-TI2F-285-Nemoura"	"TI2F285"	"TI2"	"South"	"no-leaf"	"forested"	-26.99	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.34	NA	NA	-28.08
"154"	"MZB-TI2A-262-Nemoura"	"TI2A262"	"TI2"	"South"	"no-leaf"	"non-forested"	-26.79	1.47928791869901	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.23	11.75	-2.11	-27.88
"155"	"Leaf-TG1A-15"	"TG1A15"	"TG1"	"North"	"Alder"	"non-forested"	-29.66	2.8027897277492	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.25	3.2	0.13	-29.66
"156"	"Leaf-TG3F-ML5-Ash"	"TG3FML5"	"TG3"	"North"	"Ash"	"forested"	-29.95	3.00361826395038	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.77	2.59	-0.96	-29.95
"157"	"Leaf-TG2F-96-Alder"	"TG2F96"	"TG2"	"North"	"Alder"	"forested"	-29.48	2.97943237905114	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.05	2.67	-0.76	-29.48
"158"	"Leaf-TG4A-165-Ash"	"TG4A165"	"TG4"	"North"	"Ash"	"non-forested"	-29.71	2.99767778920381	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	41.24	2.4	-0.22	-29.71
"159"	"Leaf-TG4F-182"	"TG4F182"	"TG4"	"North"	"Alder"	"forested"	-29.46	3.04031455433656	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.34	2.64	-1.33	-29.46
"160"	"Leaf-TG4F-189-Ash"	"TG4F189"	"TG4"	"North"	"Ash"	"forested"	-30.24	3.08335833045269	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.87	2.29	-0.88	-30.24
"161"	"Leaf-TG2F-ML4-Ash"	"TG2FML4"	"TG2"	"North"	"Ash"	"forested"	-29.79	3.22661916969244	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.56	1.97	-0.29	-29.79
"162"	"Leaf-TG4F-186"	"TG4F186"	"TG4"	"North"	"Ash"	"forested"	-29.92	3.09283281248112	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.79	2.37	-1.02	-29.92
"164"	"Leaf-TG2A-62"	"TG2A62"	"TG2"	"North"	"Alder"	"non-forested"	-29.71	2.85259562032699	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.48	3.06	-0.88	-29.71
"165"	"Leaf-TI2F-287-Alder"	"TI2F287"	"TI2"	"South"	"Alder"	"forested"	-30.23	2.90686075628046	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.33	3.08	-1.61	-30.23
"166"	"Leaf-TG4F-181"	"TG4F181"	"TG4"	"North"	"Alder"	"forested"	-29.12	3.03382298059484	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.39	2.66	-1.31	-29.12
"167"	"Leaf-TG3A-115"	"TG3A115"	"TG3"	"North"	"Ash"	"non-forested"	-30.29	2.94425698036716	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.33	2.66	0.06	-30.29
"168"	"Leaf-TG1A-18"	"TG1A18"	"TG1"	"North"	"Ash"	"non-forested"	-30.52	2.86576685360092	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.33	3.01	0.4	-30.52
"169"	"Leaf-TG1A-16"	"TG1A16"	"TG1"	"North"	"Alder"	"non-forested"	-29.18	2.87369941670451	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.45	3.06	-0.25	-29.18
"170"	"Leaf-TG3F-ML5-Alder"	"TG3FML5"	"TG3"	"North"	"Alder"	"forested"	-29.25	2.9295541341396	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.55	2.9	-1.15	-29.25
"171"	"Leaf-TG4A-164"	"TG4A164"	"TG4"	"North"	"Ash"	"non-forested"	-30.13	2.89184813531696	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.9	2.84	-0.53	-30.13
"172"	"Leaf-TG1F-39"	"TG1F39"	"TG1"	"North"	"Alder"	"forested"	-28.99	2.9131146956765	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.37	3	-0.18	-28.99
"173"	"Leaf-TG4A-165-Alder"	"TG4A165"	"TG4"	"North"	"Alder"	"non-forested"	-29.45	2.9672207837286	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.17	2.77	-0.74	-29.45
"174"	"Leaf-TG4F-189-Alder"	"TG4F189"	"TG4"	"North"	"Alder"	"forested"	-29.8	3.03589336286796	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.06	2.58	-1.05	-29.8
"175"	"Leaf-TG2A-65"	"TG2A65"	"TG2"	"North"	"Ash"	"non-forested"	-30.73	2.98392408143207	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.88	2.53	-0.13	-30.73
"176"	"Leaf-TG4F-188"	"TG4F188"	"TG4"	"North"	"Ash"	"forested"	-30.03	2.96745042540279	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.18	2.65	-1.08	-30.03
"177"	"Leaf-TG3F-137"	"TG3F137"	"TG3"	"North"	"Ash"	"forested"	-30.26	2.95464425935392	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.77	2.72	-0.22	-30.26
"178"	"Leaf-TG3F-144-Alder"	"TG3F144"	"TG3"	"North"	"Alder"	"forested"	-29.59	3.00794083847005	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.7	2.69	-1.23	-29.59
"179"	"Leaf-TG1F-47-Alder"	"TG1F47"	"TG1"	"North"	"Alder"	"forested"	-28.53	2.92213722449345	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.64	2.99	0.06	-28.53
"180"	"Leaf-TG1F-40"	"TG1F40"	"TG1"	"North"	"Alder"	"forested"	-29.27	2.84696006024154	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.52	3.08	-0.1	-29.27
"181"	"Leaf-TG2A-70-Ash"	"TG2A70"	"TG2"	"North"	"Ash"	"non-forested"	-30.42	2.96986861693208	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.95	2.57	-0.41	-30.42
"182"	"Leaf-TG1F-46-Ash"	"TG1F46"	"TG1"	"North"	"Ash"	"forested"	-30.22	2.91842834762449	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.4	2.86	0.52	-30.22
"183"	"Leaf-TG2F-86"	"TG2F86"	"TG2"	"North"	"Alder"	"forested"	-29.46	2.90382145021771	"N"	NA	NA	"sample"	"Alder"	"Leaf"	41.3	2.64	-0.42	-29.46
"184"	"Leaf-TG3A-118-Ash"	"TG3A118"	"TG3"	"North"	"Ash"	"non-forested"	-29.9	3.05457249741305	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	37.47	2.06	0.76	-29.9
"185"	"Leaf-TG3A-120-Ash"	"TG3A120"	"TG3"	"North"	"Ash"	"non-forested"	-30.35	3.08212065521972	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.63	2.28	0.24	-30.35
"186"	"Leaf-TI2A-258"	"TI2A258"	"TI2"	"South"	"Ash"	"non-forested"	-30.68	2.84576775293148	"N"	NA	NA	"sample"	"Ash"	"Leaf"	47.68	3.23	-1.13	-30.68
"187"	"Leaf-TG4F-190-Ash"	"TG4F190"	"TG4"	"North"	"Ash"	"forested"	-29.7	3.21087876909158	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.66	2.1	-1.02	-29.7
"188"	"Leaf-TG4A-166-Alder"	"TG4A166"	"TG4"	"North"	"Alder"	"non-forested"	-29.15	2.98049311085454	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.76	2.65	-0.7	-29.15
"189"	"Leaf-TG4F-192-Alder"	"TG4F192"	"TG4"	"North"	"Alder"	"forested"	-29.39	3.03380025564625	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.32	2.6	-1.37	-29.39
"190"	"Leaf-TG4A-167-Ash"	"TG4A167"	"TG4"	"North"	"Ash"	"non-forested"	-29.94	3.13387294414927	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	41.35	2.1	0.15	-29.94
"191"	"Leaf-TI1A-216-Alder"	"TI1A216"	"TI1"	"South"	"Alder"	"non-forested"	-29.39	2.81468976307609	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.79	3.13	-1.47	-29.39
"192"	"Leaf-TG4A-167-Alder"	"TG4A167"	"TG4"	"North"	"Alder"	"non-forested"	-28.69	2.94033392997343	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.73	2.88	-0.2	-28.69
"193"	"Leaf-TI1F-237-Alder"	"TI1F237"	"TI1"	"South"	"Alder"	"forested"	-29.5	3.00680135608898	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.3	2.67	-1.62	-29.5
"194"	"Leaf-TI1F-236"	"TI1F236"	"TI1"	"South"	"Ash"	"forested"	-30.63	2.90229001182049	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.86	3	-2.05	-30.63
"195"	"Leaf-TI3F-334-Alder"	"TI3F334"	"TI3"	"South"	"Alder"	"forested"	-30.07	2.87252388365575	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.76	3.15	-1.97	-30.07
"196"	"Leaf-TI1A-206"	"TI1A206"	"TI1"	"South"	"Alder"	"non-forested"	-29.35	2.81942670663843	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.14	3.07	-1.74	-29.35
"197"	"Leaf-TG3F-136"	"TG3F136"	"TG3"	"North"	"Alder"	"forested"	-29.6	2.88120615436826	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.8	3.06	-1.16	-29.6
"198"	"Leaf-TI2F-277"	"TI2F277"	"TI2"	"South"	"Alder"	"forested"	-29.53	2.93431821998366	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.74	2.96	-1.77	-29.53
"199"	"Leaf-TI1A-208"	"TI1A208"	"TI1"	"South"	"Alder"	"non-forested"	-29.63	2.84172050546035	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.4	3.02	-1.41	-29.63
"200"	"Leaf-TI2A-260"	"TI2A260"	"TI2"	"South"	"Ash"	"non-forested"	-31.06	2.87344401123952	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.01	2.9	-1.04	-31.06
"201"	"Leaf-TI2A-263-Ash"	"TI2A263"	"TI2"	"South"	"Ash"	"non-forested"	-30.46	2.91701614023466	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.97	2.9	-1.27	-30.46
"202"	"Leaf-TI1A-214-Ash"	"TI1A214"	"TI1"	"South"	"Ash"	"non-forested"	-30.81	2.83091461313235	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.65	3.07	-1.81	-30.81
"203"	"Leaf-TI1A-209"	"TI1A209"	"TI1"	"South"	"Ash"	"non-forested"	-30.93	2.81553338697768	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.26	3.23	-1.66	-30.93
"205"	"Leaf-TI1A-211"	"TI1A211"	"TI1"	"South"	"Ash"	"non-forested"	-30.62	2.78148812610951	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.85	3.24	-1.47	-30.62
"206"	"Leaf-TI1A-207"	"TI1A207"	"TI1"	"South"	"Alder"	"non-forested"	-29.75	2.77944731316595	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.14	3.34	-1.48	-29.75
"207"	"Leaf-TG1A-14"	"TG1A14"	"TG1"	"North"	"Alder"	"non-forested"	-29.21	2.86795458342682	"N"	NA	NA	"sample"	"Alder"	"Leaf"	43.92	2.91	0.13	-29.21
"208"	"Leaf-TG1F-42"	"TG1F42"	"TG1"	"North"	"Ash"	"forested"	-30.4	2.93299251480295	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.65	2.71	0.26	-30.4
"209"	"Leaf-TG4F-192-Ash"	"TG4F192"	"TG4"	"North"	"Ash"	"forested"	-29.87	3.13281639687999	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.47	2.21	-1.06	-29.87
"210"	"Leaf-TI3F-325"	"TI3F325"	"TI3"	"South"	"Alder"	"forested"	-29.63	2.90689227200167	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.39	3.02	-1.8	-29.63
"211"	"Leaf-TG3A-110"	"TG3A110"	"TG3"	"North"	"Alder"	"non-forested"	-30.3	2.83773881327849	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.37	3.03	-0.66	-30.3
"212"	"Leaf-TI1F-238-Alder"	"TI1F238"	"TI1"	"South"	"Alder"	"forested"	-29.9	2.90105253672362	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.71	2.93	-1.53	-29.9
"214"	"Leaf-TG1F-44"	"TG1F44"	"TG1"	"North"	"Ash"	"forested"	-30.39	3.02969275984243	"N"	NA	NA	"sample"	"Ash"	"Leaf"	40.63	2.29	0.74	-30.39
"215"	"Leaf-TI2F-279"	"TI2F279"	"TI2"	"South"	"Alder"	"forested"	-28.98	2.95243333548645	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.12	2.93	-1.57	-28.98
"216"	"Leaf-TG3A-117-Ash"	"TG3A117"	"TG3"	"North"	"Ash"	"non-forested"	-30.18	2.94050463074861	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.33	2.67	0.23	-30.18
"217"	"Leaf-TG4F-191-Alder"	"TG4F191"	"TG4"	"North"	"Alder"	"forested"	-28.31	3.07842830560516	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.13	2.53	-1.19	-28.31
"218"	"Leaf-TI2A-263-Alder"	"TI2A263"	"TI2"	"South"	"Alder"	"non-forested"	-29.37	2.90830808414605	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.3	3.01	-1.3	-29.37
"219"	"Leaf-TG1A-22-Ash"	"TG1A22"	"TG1"	"North"	"Ash"	"non-forested"	-30.63	2.86223841753926	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.42	2.96	0.42	-30.63
"220"	"Leaf-TI2F-285-Alder"	"TI2F285"	"TI2"	"South"	"Alder"	"forested"	-29.31	2.89584211400569	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.49	3.06	-1.77	-29.31
"221"	"Leaf-TG1A-23-Alder"	"TG1A23"	"TG1"	"North"	"Alder"	"non-forested"	-29.13	2.89307138077267	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.43	3	0.03	-29.13
"222"	"Leaf-TG2F-88"	"TG2F88"	"TG2"	"North"	"Alder"	"forested"	-29.8	2.92699600839514	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.83	2.8	-0.59	-29.8
"223"	"Leaf-TI1A-213-Ash"	"TI1A213"	"TI1"	"South"	"Ash"	"non-forested"	-30.43	2.91028959073891	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.3	2.75	-1.67	-30.43
"224"	"Leaf-TG4A-161"	"TG4A161"	"TG4"	"North"	"Ash"	"non-forested"	-30.03	3.0002419662263	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.93	2.55	-0.21	-30.03
"226"	"Leaf-TI1F-235"	"TI1F235"	"TI1"	"South"	"Ash"	"forested"	-30.95	2.84038667959971	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.69	3.18	-2.06	-30.95
"227"	"Leaf-TG1A-23-Ash"	"TG1A23"	"TG1"	"North"	"Ash"	"non-forested"	-30.09	2.90320689981427	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	41.9	2.68	0.21	-30.09
"228"	"Leaf-TI3A-307"	"TI3A307"	"TI3"	"South"	"Ash"	"non-forested"	-30.94	2.9399262728203	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.9	2.83	-1.9	-30.94
"229"	"Leaf-TI4A-354"	"TI4A354"	"TI4"	"South"	"Ash"	"non-forested"	-30.52	2.88640070989112	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.89	3.05	-1.32	-30.52
"230"	"Leaf-TI4A-356"	"TI4A356"	"TI4"	"South"	"Ash"	"non-forested"	-31.08	2.85328642325584	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.85	3.15	-1.3	-31.08
"231"	"Leaf-TI2F-286-Ash"	"TI2F286"	"TI2"	"South"	"Ash"	"forested"	-30.48	3.01266507732248	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	47.27	2.71	-1.55	-30.48
"232"	"Leaf-TI3F-330"	"TI3F330"	"TI3"	"South"	"Ash"	"forested"	-30.59	2.90781389090644	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.35	2.76	-1.98	-30.59
"233"	"Leaf-TI4A-357-Alder"	"TI4A357"	"TI4"	"South"	"Alder"	"non-forested"	-29.34	2.93543135664165	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.34	2.87	-1.73	-29.34
"234"	"Leaf-TI4A-351"	"TI4A351"	"TI4"	"South"	"Alder"	"non-forested"	-29.7	2.88039033969558	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.29	3.16	-1.67	-29.7
"235"	"Leaf-TI1F-229"	"TI1F229"	"TI1"	"South"	"Alder"	"forested"	-29.79	2.86369101865724	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.34	3.15	-1.63	-29.79
"236"	"Leaf-TI3F-335-Alder"	"TI3F335"	"TI3"	"South"	"Alder"	"forested"	-29.32	3.05339795215348	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.51	2.56	-1.88	-29.32
"237"	"Leaf-TI4A-359-Alder"	"TI4A359"	"TI4"	"South"	"Alder"	"non-forested"	-29.81	2.88362981042621	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.6	3.17	-1.52	-29.81
"238"	"Leaf-TI2A-264-Alder"	"TI2A264"	"TI2"	"South"	"Alder"	"non-forested"	-29.92	2.82701315433455	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.78	3.16	-1.46	-29.92
"239"	"Leaf-TI2A-257"	"TI2A257"	"TI2"	"South"	"Ash"	"non-forested"	-30.67	2.87433362757477	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.72	3.01	-0.08	-30.67
"240"	"Leaf-TI2A-254"	"TI2A254"	"TI2"	"South"	"Alder"	"non-forested"	-29.6	2.80997559026895	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.14	3.38	-1.49	-29.6
"241"	"Leaf-TI4A-360-Ash"	"TI4A360"	"TI4"	"South"	"Ash"	"non-forested"	-31.1	2.93327183992561	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.79	2.78	-1.13	-31.1
"242"	"Leaf-TI4F-382-Alder"	"TI4F382"	"TI4"	"South"	"Alder"	"forested"	-28.93	2.93720991180612	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.04	2.97	-1.75	-28.93
"243"	"Leaf-TI4F-378"	"TI4F378"	"TI4"	"South"	"Ash"	"forested"	-30.9	2.93901457288219	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.21	2.79	-1.37	-30.9
"244"	"Leaf-TI2A-262-Ash"	"TI2A262"	"TI2"	"South"	"Ash"	"non-forested"	-30.25	2.85366141985117	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.57	3.13	-1.13	-30.25
"245"	"Leaf-TI4A-355"	"TI4A355"	"TI4"	"South"	"Ash"	"non-forested"	-30.84	2.86845404309258	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.66	3.09	-1.47	-30.84
"246"	"Leaf-TI3A-301"	"TI3A301"	"TI3"	"South"	"Alder"	"non-forested"	-29.33	2.89606235772911	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.19	3.04	-1.76	-29.33
"247"	"Leaf-TI4F-377"	"TI4F377"	"TI4"	"South"	"Ash"	"forested"	-30.96	2.93990584777511	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.71	2.88	-1.49	-30.96
"248"	"Leaf-TI2A-256"	"TI2A256"	"TI2"	"South"	"Alder"	"non-forested"	-29.71	2.81103278457399	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.48	3.26	-1.52	-29.71
