"Sample_Name"	"EA_N_Percent_corr"	"EA_C_Percent_corr"	"Delta15_N_Air"	"Delta13_C_VPDB"	"Type"	"Site"	"ID"	"Species"	"T"	"Mesh"	"Mix"	"Vegetation"	"Region"	"Stream"	"Sample_ID"	"Leaf"	"LeafLeafLeaf"	"Country"	"molar_CN"	"log_molar_CN"	"MonoMix"	"Fungal_Biom_Leaf_mgg_noRR"
"22"	"Leaf-TG1A-24-Alder"	2.88	46.92	1.19	-29.45	"Leaf"	"TG1A"	"24"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A24"	"Mix"	"Alder"	"Switzerland"	18.9990997610464	2.94439159704637	"Mix"	57.1232372239806
"23"	"Leaf-TG4F-184"	2.87	46.9	0.35	-29.49	"Leaf"	"TG4F"	"184"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F184"	"Alder"	"Alder"	"Switzerland"	19.0571719891227	2.94744351308965	"Mono"	80.3051515919311
"24"	"Leaf-TG1F-48-Alder"	2.9	46.67	1.51	-29.43	"Leaf"	"TG1F"	"48"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F48"	"Mix"	"Alder"	"Switzerland"	18.7675382841105	2.93212869037824	"Mix"	121.742349516082
"25"	"Leaf-TG4A-162"	2.73	44.24	1.2	-30.44	"Leaf"	"TG4A"	"162"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A162"	"Ash"	"Ash"	"Switzerland"	18.8981798921603	2.93906561542616	"Mono"	108.58822700431
"26"	"Leaf-TI1A-216-Ash"	3.12	44.2	0.5	-31.1	"Leaf"	"TI1A"	"216"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A216"	"Mix"	"Ash"	"Switzerland"	16.5209563139534	2.80462965467121	"Mix"	121.191012740163
"27"	"Leaf-TG3A-112"	2.88	45.4	0.95	-29.54	"Leaf"	"TG3A"	"112"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A112"	"Alder"	"Alder"	"Switzerland"	18.3836131532717	2.9114596783084	"Mono"	43.8437600343086
"28"	"Leaf-TG1F-37"	2.62	44.58	1.61	-29.08	"Leaf"	"TG1F"	"37"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F37"	"Alder"	"Alder"	"Switzerland"	19.8429519302032	2.98784887759366	"Mono"	95.1566670697965
"29"	"Leaf-TG3A-117-Alder"	2.76	46.42	1.02	-30.13	"Leaf"	"TG3A"	"117"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A117"	"Mix"	"Alder"	"Switzerland"	19.6138821507344	2.97623758852618	"Mix"	73.1082491626602
"30"	"Leaf-TG2F-ML4-Alder"	2.84	44.62	1.18	-29.52	"Leaf"	"TG2F"	"ML4"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2FML4"	"Mix"	"Alder"	"Switzerland"	18.3222469940829	2.90811600424022	"Mix"	60.705962310979
"31"	"Leaf-TG4A-168-Alder"	2.59	45.71	-0.9	-28.51	"Leaf"	"TG4A"	"168"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A168"	"Mix"	"Alder"	"Switzerland"	20.5815919993861	3.02439708404115	"Mix"	91.0319705665395
