"Sample_Name"	"EA_N_Percent_corr"	"EA_C_Percent_corr"	"Delta15_N_Air"	"Delta13_C_VPDB"	"Type"	"Site"	"ID"	"Species"	"T"	"Mesh"	"Mix"	"Vegetation"	"Region"	"Stream"	"Sample_ID"	"Leaf"	"LeafLeafLeaf"	"Country"	"molar_CN"	"log_molar_CN"	"MonoMix"	"Fungal_Biom_Leaf_mgg_noRR"
"89"	"Leaf-TI1F-238-Ash"	2.92	44.85	-1.86	-30.48	"Leaf"	"TI1F"	"238"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F238"	"Mix"	"Ash"	"Switzerland"	17.9121246739922	2.88547783963356	"Mix"	122.212054490955
"91"	"Leaf-TI3A-311-Ash"	2.67	44.3	-2.21	-30.31	"Leaf"	"TI3A"	"311"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A311"	"Mix"	"Ash"	"Switzerland"	19.3490644998846	2.96264407204788	"Mix"	110.683860639993
"92"	"Leaf-TG4F-185"	2.23	43.03	-1	-30.06	"Leaf"	"TG4F"	"185"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F185"	"Ash"	"Ash"	"Switzerland"	22.5026668485175	3.11363382878743	"Mono"	83.9182691306081
"93"	"Leaf-TG2A-67"	2.56	41.37	-0.11	-30.46	"Leaf"	"TG2A"	"67"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A67"	"Ash"	"Ash"	"Switzerland"	18.8457342658525	2.9362865893908	"Mono"	61.4620688294409
"94"	"Leaf-TI1F-234"	2.69	46.41	-1.79	-30.71	"Leaf"	"TI1F"	"234"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F234"	"Ash"	"Ash"	"Switzerland"	20.1199453102273	3.00171162704828	"Mono"	105.154287835596
"95"	"Leaf-TI2F-286-Alder"	2.74	47.28	-1.74	-28.96	"Leaf"	"TI2F"	"286"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F286"	"Mix"	"Alder"	"Switzerland"	20.1230780899197	3.00186732010681	"Mix"	73.43649294141
"96"	"Leaf-TI1F-240-Alder"	2.84	48.64	-1.58	-29.01	"Leaf"	"TI1F"	"240"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F240"	"Mix"	"Alder"	"Switzerland"	19.9729738635632	2.99438005289374	"Mix"	125.926545444725
"97"	"Leaf-TG2A-61"	2.98	42.27	-0.87	-29.87	"Leaf"	"TG2A"	"61"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A61"	"Alder"	"Alder"	"Switzerland"	16.5418276365766	2.80589218147033	"Mono"	87.3808983954159
"98"	"Leaf-TI3A-310-Alder"	2.67	45.46	-1.86	-29.71	"Leaf"	"TI3A"	"310"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A310"	"Mix"	"Alder"	"Switzerland"	19.8557217192947	2.98849221342119	"Mix"	64.8893975667826
"99"	"Leaf-TG1A-20"	2.89	42.83	0.37	-30.74	"Leaf"	"TG1A"	"20"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A20"	"Ash"	"Ash"	"Switzerland"	17.2829446511693	2.84972015691189	"Mono"	107.76848845782
"122"	"Leaf-TG1A-15"	3.2	45.25	0.13	-29.66	"Leaf"	"TG1A"	"15"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A15"	"Alder"	"Alder"	"Switzerland"	16.4905869089645	2.8027897277492	"Mono"	95.0904891813953
"123"	"Leaf-TG3F-ML5-Ash"	2.59	44.77	-0.96	-29.95	"Leaf"	"TG3F"	"ML5"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3FML5"	"Mix"	"Ash"	"Switzerland"	20.1583433343364	3.00361826395038	"Mix"	51.8221261191607
"124"	"Leaf-TG2F-96-Alder"	2.67	45.05	-0.76	-29.48	"Leaf"	"TG2F"	"96"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2F96"	"Mix"	"Alder"	"Switzerland"	19.6766445986411	2.97943237905114	"Mix"	77.8753540522756
"125"	"Leaf-TG4A-165-Ash"	2.4	41.24	-0.22	-29.71	"Leaf"	"TG4A"	"165"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A165"	"Mix"	"Ash"	"Switzerland"	20.0389481878658	2.99767778920381	"Mix"	87.2810984975067
"126"	"Leaf-TG4F-182"	2.64	47.34	-1.33	-29.46	"Leaf"	"TG4F"	"182"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F182"	"Alder"	"Alder"	"Switzerland"	20.9118201043464	3.04031455433656	"Mono"	31.6752446031837
"127"	"Leaf-TG4F-189-Ash"	2.29	42.87	-0.88	-30.24	"Leaf"	"TG4F"	"189"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F189"	"Mix"	"Ash"	"Switzerland"	21.8315971388394	3.08335833045269	"Mix"	86.3316106865438
"128"	"Leaf-TG2F-ML4-Ash"	1.97	42.56	-0.29	-29.79	"Leaf"	"TG2F"	"ML4"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2FML4"	"Mix"	"Ash"	"Switzerland"	25.194335051246	3.22661916969244	"Mix"	54.270178856672
"129"	"Leaf-TG4F-186"	2.37	44.79	-1.02	-29.92	"Leaf"	"TG4F"	"186"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F186"	"Ash"	"Ash"	"Switzerland"	22.0394231809969	3.09283281248112	"Mono"	56.0160530204625
"130"	"Leaf-TG2A-62"	3.06	45.48	-0.88	-29.71	"Leaf"	"TG2A"	"62"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A62"	"Alder"	"Alder"	"Switzerland"	17.3327126449504	2.85259562032699	"Mono"	132.414853583137
"131"	"Leaf-TI2F-287-Alder"	3.08	48.33	-1.61	-30.23	"Leaf"	"TI2F"	"287"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F287"	"Mix"	"Alder"	"Switzerland"	18.2992624595883	2.90686075628046	"Mix"	106.81615036098
"132"	"Leaf-TG4F-181"	2.66	47.39	-1.31	-29.12	"Leaf"	"TG4F"	"181"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F181"	"Alder"	"Alder"	"Switzerland"	20.7765091477643	3.03382298059484	"Mono"	77.0794387570755
"133"	"Leaf-TG3A-115"	2.66	43.33	0.06	-30.29	"Leaf"	"TG3A"	"115"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A115"	"Ash"	"Ash"	"Switzerland"	18.9965423374684	2.94425698036716	"Mono"	85.4578176793417
"134"	"Leaf-TG1A-18"	3.01	45.33	0.4	-30.52	"Leaf"	"TG1A"	"18"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A18"	"Ash"	"Ash"	"Switzerland"	17.5625159205356	2.86576685360092	"Mono"	92.2246601962917
"135"	"Leaf-TG1A-16"	3.06	46.45	-0.25	-29.18	"Leaf"	"TG1A"	"16"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A16"	"Alder"	"Alder"	"Switzerland"	17.7023857158739	2.87369941670451	"Mono"	96.0309863694064
"136"	"Leaf-TG3F-ML5-Alder"	2.9	46.55	-1.15	-29.25	"Leaf"	"TG3F"	"ML5"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3FML5"	"Mix"	"Alder"	"Switzerland"	18.719282346804	2.9295541341396	"Mix"	33.6994696325362
"137"	"Leaf-TG4A-164"	2.84	43.9	-0.53	-30.13	"Leaf"	"TG4A"	"164"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A164"	"Ash"	"Ash"	"Switzerland"	18.0265944204446	2.89184813531696	"Mono"	81.0686714805065
"138"	"Leaf-TG1F-39"	3	47.37	-0.18	-28.99	"Leaf"	"TG1F"	"39"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F39"	"Alder"	"Alder"	"Switzerland"	18.4140635433405	2.9131146956765	"Mono"	NA
"139"	"Leaf-TG4A-165-Alder"	2.77	46.17	-0.74	-29.45	"Leaf"	"TG4A"	"165"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A165"	"Mix"	"Alder"	"Switzerland"	19.4378225444526	2.9672207837286	"Mix"	98.0313450441628
"140"	"Leaf-TG4F-189-Alder"	2.58	46.06	-1.05	-29.8	"Leaf"	"TG4F"	"189"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F189"	"Mix"	"Alder"	"Switzerland"	20.819569023822	3.03589336286796	"Mix"	79.7192970945372
"141"	"Leaf-TG2A-65"	2.53	42.88	-0.13	-30.73	"Leaf"	"TG2A"	"65"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A65"	"Ash"	"Ash"	"Switzerland"	19.7652250195486	2.98392408143207	"Mono"	117.430639725367
"142"	"Leaf-TG4F-188"	2.65	44.18	-1.08	-30.03	"Leaf"	"TG4F"	"188"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F188"	"Ash"	"Ash"	"Switzerland"	19.4422867911333	2.96745042540279	"Mono"	74.8831363671446
"143"	"Leaf-TG3F-137"	2.72	44.77	-0.22	-30.26	"Leaf"	"TG3F"	"137"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F137"	"Ash"	"Ash"	"Switzerland"	19.1948931014453	2.95464425935392	"Mono"	73.2809152552595
"144"	"Leaf-TG3F-144-Alder"	2.69	46.7	-1.23	-29.59	"Leaf"	"TG3F"	"144"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F144"	"Mix"	"Alder"	"Switzerland"	20.2456678730363	3.00794083847005	"Mix"	42.5336633096928
"145"	"Leaf-TG1F-47-Alder"	2.99	47.64	0.06	-28.53	"Leaf"	"TG1F"	"47"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F47"	"Mix"	"Alder"	"Switzerland"	18.5809567294135	2.92213722449345	"Mix"	95.0483204334205
"146"	"Leaf-TG1F-40"	3.08	45.52	-0.1	-29.27	"Leaf"	"TG1F"	"40"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F40"	"Alder"	"Alder"	"Switzerland"	17.2353078245491	2.84696006024154	"Mono"	92.3739002537867
"147"	"Leaf-TG2A-70-Ash"	2.57	42.95	-0.41	-30.42	"Leaf"	"TG2A"	"70"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A70"	"Mix"	"Ash"	"Switzerland"	19.4893588560576	2.96986861693208	"Mix"	95.9217502809766
"148"	"Leaf-TG1F-46-Ash"	2.86	45.4	0.52	-30.22	"Leaf"	"TG1F"	"46"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F46"	"Mix"	"Ash"	"Switzerland"	18.5121698886092	2.91842834762449	"Mix"	71.9412791496975
"149"	"Leaf-TG2F-86"	2.64	41.3	-0.42	-29.46	"Leaf"	"TG2F"	"86"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2F86"	"Alder"	"Alder"	"Switzerland"	18.2437298333229	2.90382145021771	"Mono"	103.516299497833
"150"	"Leaf-TG3A-118-Ash"	2.06	37.47	0.76	-29.9	"Leaf"	"TG3A"	"118"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A118"	"Mix"	"Ash"	"Switzerland"	21.2121153541005	3.05457249741305	"Mix"	86.4265257610802
"151"	"Leaf-TG3A-120-Ash"	2.28	42.63	0.24	-30.35	"Leaf"	"TG3A"	"120"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A120"	"Mix"	"Ash"	"Switzerland"	21.8045934261249	3.08212065521972	"Mix"	84.3603211762782
"152"	"Leaf-TI2A-258"	3.23	47.68	-1.13	-30.68	"Leaf"	"TI2A"	"258"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A258"	"Ash"	"Ash"	"Switzerland"	17.2147702869998	2.84576775293148	"Mono"	124.098793606142
"153"	"Leaf-TG4F-190-Ash"	2.1	44.66	-1.02	-29.7	"Leaf"	"TG4F"	"190"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F190"	"Mix"	"Ash"	"Switzerland"	24.800870890123	3.21087876909158	"Mix"	56.7552330741051
"154"	"Leaf-TG4A-166-Alder"	2.65	44.76	-0.7	-29.15	"Leaf"	"TG4A"	"166"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A166"	"Mix"	"Alder"	"Switzerland"	19.6975273148738	2.98049311085454	"Mix"	61.6642903389831
"155"	"Leaf-TG4F-192-Alder"	2.6	46.32	-1.37	-29.39	"Leaf"	"TG4F"	"192"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F192"	"Mix"	"Alder"	"Switzerland"	20.7760370080268	3.03380025564625	"Mix"	54.0487385525992
"156"	"Leaf-TG4A-167-Ash"	2.1	41.35	0.15	-29.94	"Leaf"	"TG4A"	"167"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A167"	"Mix"	"Ash"	"Switzerland"	22.9627409607386	3.13387294414927	"Mix"	114.903133634027
"157"	"Leaf-TI1A-216-Alder"	3.13	44.79	-1.47	-29.39	"Leaf"	"TI1A"	"216"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A216"	"Mix"	"Alder"	"Switzerland"	16.6879977440776	2.81468976307609	"Mix"	128.764264796187
"158"	"Leaf-TG4A-167-Alder"	2.88	46.73	-0.2	-28.69	"Leaf"	"TG4A"	"167"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A167"	"Mix"	"Alder"	"Switzerland"	18.9221639350746	2.94033392997343	"Mix"	104.002707613083
"159"	"Leaf-TI1F-237-Alder"	2.67	46.3	-1.62	-29.5	"Leaf"	"TI1F"	"237"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F237"	"Mix"	"Alder"	"Switzerland"	20.222611429902	3.00680135608898	"Mix"	132.349927835352
"160"	"Leaf-TI1F-236"	3	46.86	-2.05	-30.63	"Leaf"	"TI1F"	"236"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F236"	"Ash"	"Ash"	"Switzerland"	18.2158120675731	2.90229001182049	"Mono"	126.691820614305
"161"	"Leaf-TI3F-334-Alder"	3.15	47.76	-1.97	-30.07	"Leaf"	"TI3F"	"334"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F334"	"Mix"	"Alder"	"Switzerland"	17.6815882029	2.87252388365575	"Mix"	60.896057822637
"162"	"Leaf-TI1A-206"	3.07	44.14	-1.74	-29.35	"Leaf"	"TI1A"	"206"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A206"	"Alder"	"Alder"	"Switzerland"	16.7672353714789	2.81942670663843	"Mono"	157.684623873366
"163"	"Leaf-TG3F-136"	3.06	46.8	-1.16	-29.6	"Leaf"	"TG3F"	"136"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F136"	"Alder"	"Alder"	"Switzerland"	17.8357729064134	2.88120615436826	"Mono"	46.2344116253125
"164"	"Leaf-TI2F-277"	2.96	47.74	-1.77	-29.53	"Leaf"	"TI2F"	"277"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F277"	"Alder"	"Alder"	"Switzerland"	18.8086753838188	2.93431821998366	"Mono"	89.1209375149605
"165"	"Leaf-TI1A-208"	3.02	44.4	-1.41	-29.63	"Leaf"	"TI1A"	"208"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A208"	"Alder"	"Alder"	"Switzerland"	17.145238652268	2.84172050546035	"Mono"	161.690522322851
"166"	"Leaf-TI2A-260"	2.9	44.01	-1.04	-31.06	"Leaf"	"TI2A"	"260"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A260"	"Ash"	"Ash"	"Switzerland"	17.6978650071502	2.87344401123952	"Mono"	141.699560217368
"167"	"Leaf-TI2A-263-Ash"	2.9	45.97	-1.27	-30.46	"Leaf"	"TI2A"	"263"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A263"	"Mix"	"Ash"	"Switzerland"	18.4860453164893	2.91701614023466	"Mix"	112.828265229404
"168"	"Leaf-TI1A-214-Ash"	3.07	44.65	-1.81	-30.81	"Leaf"	"TI1A"	"214"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A214"	"Mix"	"Ash"	"Switzerland"	16.9609664552907	2.83091461313235	"Mix"	93.7842143363341
"169"	"Leaf-TI1A-209"	3.23	46.26	-1.66	-30.93	"Leaf"	"TI1A"	"209"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A209"	"Ash"	"Ash"	"Switzerland"	16.702082077949	2.81553338697768	"Mono"	145.354989526904
"170"	"Leaf-TI1A-211"	3.24	44.85	-1.47	-30.62	"Leaf"	"TI1A"	"211"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A211"	"Ash"	"Ash"	"Switzerland"	16.1430259407584	2.78148812610951	"Mono"	119.482898773043
"171"	"Leaf-TI1A-207"	3.34	46.14	-1.48	-29.75	"Leaf"	"TI1A"	"207"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A207"	"Alder"	"Alder"	"Switzerland"	16.1101146387984	2.77944731316595	"Mono"	159.711413139318
"172"	"Leaf-TG1A-14"	2.91	43.92	0.13	-29.21	"Leaf"	"TG1A"	"14"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A14"	"Alder"	"Alder"	"Switzerland"	17.60098001962	2.86795458342682	"Mono"	141.775900356679
"173"	"Leaf-TG1F-42"	2.71	43.65	0.26	-30.4	"Leaf"	"TG1F"	"42"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F42"	"Ash"	"Ash"	"Switzerland"	18.7837571461879	2.93299251480295	"Mono"	97.7114089391155
"174"	"Leaf-TG4F-192-Ash"	2.21	43.47	-1.06	-29.87	"Leaf"	"TG4F"	"192"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F192"	"Mix"	"Ash"	"Switzerland"	22.9384925515322	3.13281639687999	"Mix"	77.0940031487635
"175"	"Leaf-TI3F-325"	3.02	47.39	-1.8	-29.63	"Leaf"	"TI3F"	"325"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F325"	"Alder"	"Alder"	"Switzerland"	18.2998391831301	2.90689227200167	"Mono"	70.2288201901691
"176"	"Leaf-TG3A-110"	3.03	44.37	-0.66	-30.3	"Leaf"	"TG3A"	"110"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A110"	"Alder"	"Alder"	"Switzerland"	17.0771073185815	2.83773881327849	"Mono"	47.967134633381
"177"	"Leaf-TI1F-238-Alder"	2.93	45.71	-1.53	-29.9	"Leaf"	"TI1F"	"238"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F238"	"Mix"	"Alder"	"Switzerland"	18.1932843953618	2.90105253672362	"Mix"	112.321051016264
"179"	"Leaf-TG1F-44"	2.29	40.63	0.74	-30.39	"Leaf"	"TG1F"	"44"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F44"	"Ash"	"Ash"	"Switzerland"	20.6908745451608	3.02969275984243	"Mono"	83.1794939233876
"180"	"Leaf-TI2F-279"	2.93	48.12	-1.57	-28.98	"Leaf"	"TI2F"	"279"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F279"	"Alder"	"Alder"	"Switzerland"	19.1525015336865	2.95243333548645	"Mono"	66.9085707445887
"181"	"Leaf-TG3A-117-Ash"	2.67	43.33	0.23	-30.18	"Leaf"	"TG3A"	"117"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A117"	"Mix"	"Ash"	"Switzerland"	18.9253942388262	2.94050463074861	"Mix"	88.4114158358959
"182"	"Leaf-TG4F-191-Alder"	2.53	47.13	-1.19	-28.31	"Leaf"	"TG4F"	"191"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F191"	"Mix"	"Alder"	"Switzerland"	21.7242316970925	3.07842830560516	"Mix"	63.4562554557302
"183"	"Leaf-TI2A-263-Alder"	3.01	47.3	-1.3	-29.37	"Leaf"	"TI2A"	"263"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A263"	"Mix"	"Alder"	"Switzerland"	18.3257666675786	2.90830808414605	"Mix"	99.1524286673899
"184"	"Leaf-TG1A-22-Ash"	2.96	44.42	0.42	-30.63	"Leaf"	"TG1A"	"22"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A22"	"Mix"	"Ash"	"Switzerland"	17.5006569030002	2.86223841753926	"Mix"	111.832608449417
"185"	"Leaf-TI2F-285-Alder"	3.06	47.49	-1.77	-29.31	"Leaf"	"TI2F"	"285"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F285"	"Mix"	"Alder"	"Switzerland"	18.0987362249053	2.89584211400569	"Mix"	118.130683098779
"186"	"Leaf-TG1A-23-Alder"	3	46.43	0.03	-29.13	"Leaf"	"TG1A"	"23"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A23"	"Mix"	"Alder"	"Switzerland"	18.0486588625143	2.89307138077267	"Mix"	108.102125485524
"187"	"Leaf-TG2F-88"	2.8	44.83	-0.59	-29.8	"Leaf"	"TG2F"	"88"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2F88"	"Alder"	"Alder"	"Switzerland"	18.6714572660806	2.92699600839514	"Mono"	80.2737352508369
"188"	"Leaf-TI1A-213-Ash"	2.75	43.3	-1.67	-30.43	"Leaf"	"TI1A"	"213"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A213"	"Mix"	"Ash"	"Switzerland"	18.3621152956795	2.91028959073891	"Mix"	108.996159221757
"189"	"Leaf-TG4A-161"	2.55	43.93	-0.21	-30.03	"Leaf"	"TG4A"	"161"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A161"	"Ash"	"Ash"	"Switzerland"	20.0903975327882	3.0002419662263	"Mono"	94.3556246637141
"190"	"Leaf-TI1F-235"	3.18	46.69	-2.06	-30.95	"Leaf"	"TI1F"	"235"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F235"	"Ash"	"Ash"	"Switzerland"	17.1223851342616	2.84038667959971	"Mono"	112.438040965788
"191"	"Leaf-TG1A-23-Ash"	2.68	41.9	0.21	-30.09	"Leaf"	"TG1A"	"23"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A23"	"Mix"	"Ash"	"Switzerland"	18.2325215861628	2.90320689981427	"Mix"	104.814303392806
"192"	"Leaf-TI3A-307"	2.83	45.9	-1.9	-30.94	"Leaf"	"TI3A"	"307"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A307"	"Ash"	"Ash"	"Switzerland"	18.914451751664	2.9399262728203	"Mono"	109.735475492863
"193"	"Leaf-TI4A-354"	3.05	46.89	-1.32	-30.52	"Leaf"	"TI4A"	"354"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI4"	"TI4A354"	"Ash"	"Ash"	"Switzerland"	17.9286628712349	2.88640070989112	"Mono"	135.742783658758
"194"	"Leaf-TI4A-356"	3.15	46.85	-1.3	-31.08	"Leaf"	"TI4A"	"356"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI4"	"TI4A356"	"Ash"	"Ash"	"Switzerland"	17.3446902702233	2.85328642325584	"Mono"	138.383202669877
"195"	"Leaf-TI2F-286-Ash"	2.71	47.27	-1.55	-30.48	"Leaf"	"TI2F"	"286"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F286"	"Mix"	"Ash"	"Switzerland"	20.3415395257802	3.01266507732248	"Mix"	133.92372293319
"196"	"Leaf-TI3F-330"	2.76	43.35	-1.98	-30.59	"Leaf"	"TI3F"	"330"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F330"	"Ash"	"Ash"	"Switzerland"	18.3167124350353	2.90781389090644	"Mono"	83.5504208459
"197"	"Leaf-TI4A-357-Alder"	2.87	46.34	-1.73	-29.34	"Leaf"	"TI4A"	"357"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI4"	"TI4A357"	"Mix"	"Alder"	"Switzerland"	18.8296236668645	2.93543135664165	"Mix"	95.1883801744666
"198"	"Leaf-TI4A-351"	3.16	48.29	-1.67	-29.7	"Leaf"	"TI4A"	"351"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI4"	"TI4A351"	"Alder"	"Alder"	"Switzerland"	17.8212281548952	2.88039033969558	"Mono"	98.540914646316
"199"	"Leaf-TI1F-229"	3.15	47.34	-1.63	-29.79	"Leaf"	"TI1F"	"229"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F229"	"Alder"	"Alder"	"Switzerland"	17.5260968493569	2.86369101865724	"Mono"	109.244229604496
"200"	"Leaf-TI3F-335-Alder"	2.56	46.51	-1.88	-29.32	"Leaf"	"TI3F"	"335"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F335"	"Mix"	"Alder"	"Switzerland"	21.1872153904956	3.05339795215348	"Mix"	39.2237308934073
"201"	"Leaf-TI4A-359-Alder"	3.17	48.6	-1.52	-29.81	"Leaf"	"TI4A"	"359"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI4"	"TI4A359"	"Mix"	"Alder"	"Switzerland"	17.8790531124469	2.88362981042621	"Mix"	115.935073662242
"202"	"Leaf-TI2A-264-Alder"	3.16	45.78	-1.46	-29.92	"Leaf"	"TI2A"	"264"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A264"	"Mix"	"Alder"	"Switzerland"	16.8949228604494	2.82701315433455	"Mix"	91.6297470153385
"203"	"Leaf-TI2A-257"	3.01	45.72	-0.08	-30.67	"Leaf"	"TI2A"	"257"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A257"	"Ash"	"Ash"	"Switzerland"	17.7136163222345	2.87433362757477	"Mono"	137.835976346287
"204"	"Leaf-TI2A-254"	3.38	48.14	-1.49	-29.6	"Leaf"	"TI2A"	"254"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A254"	"Alder"	"Alder"	"Switzerland"	16.6095127800985	2.80997559026895	"Mono"	74.4720964209658
